date,ticker,quantity,avg_cost,market_price,market_value,unrealized_pnl,weight_pct
2026-04-28,BND,67.741498,73.8100,73.6782,4991.07,-8.93,0.04999440
2026-04-28,DGRO,68.558892,72.9300,72.6600,4981.49,-18.51,0.04989841
2026-04-28,HYG,31.086794,80.4200,80.4000,2499.38,-0.62,0.02503569
2026-04-28,QQQ,19.899610,660.8170,658.8500,13110.86,-39.14,0.13132840
2026-04-28,VEA,73.078047,68.4200,67.7300,4949.58,-50.42,0.04957875
2026-04-28,VTI,69.204170,351.8574,351.0500,24294.12,-55.88,0.24334856
2026-04-28,VWO,42.971988,58.1774,58.3200,2506.13,6.13,0.02510328
2026-04-29,BND,101.741226,73.7164,73.5500,7483.07,-16.93,0.07517793
2026-04-29,DGRO,68.558892,72.9300,72.7100,4984.92,-15.08,0.05008050
2026-04-29,GLD,6.006968,416.1833,417.4000,2507.31,7.31,0.02518944
2026-04-29,HYG,31.086794,80.4200,80.1100,2490.36,-9.64,0.02501920
2026-04-29,IEF,26.315789,95.0000,94.8300,2495.53,-4.47,0.02507107
2026-04-29,QQQ,19.899610,660.8170,656.2200,13058.52,-91.48,0.13119122
2026-04-29,VEA,110.180288,68.0703,67.0500,7387.59,-112.41,0.07421871
2026-04-29,VTI,80.924484,351.5623,348.7700,28224.03,-225.97,0.28355010
2026-04-29,VWO,42.971988,58.1774,57.9500,2490.23,-9.77,0.02501783
2026-04-30,BND,101.741226,73.7164,73.5400,7482.05,-17.95,0.07433435
2026-04-30,DGRO,102.869582,72.9078,73.6900,7580.46,80.46,0.07531205
2026-04-30,GLD,6.006968,416.1833,423.6600,2544.91,44.91,0.02528376
2026-04-30,HYG,31.086794,80.4200,80.3800,2498.76,-1.24,0.02482521
2026-04-30,IEF,26.315789,95.0000,95.0600,2501.58,1.58,0.02485325
2026-04-30,QQQ,23.223540,660.9673,667.9400,15511.93,161.93,0.15411143
2026-04-30,VEA,129.306373,68.0554,68.7335,8887.68,87.68,0.08829932
2026-04-30,VTI,85.197379,351.5366,354.5000,30202.47,252.47,0.30006230
2026-04-30,VWO,64.406048,58.2243,58.9100,3794.16,44.16,0.03769508
2026-05-01,BND,119.471723,73.6576,73.3783,8766.63,-33.37,0.08697955
2026-05-01,DGRO,120.467714,73.0486,73.4300,8845.94,45.94,0.08776646
2026-05-01,GLD,9.084375,418.3006,423.3100,3845.51,45.51,0.03815381
2026-05-01,HYG,47.312456,80.3171,80.0600,3787.84,-12.16,0.03758162
2026-05-01,IEF,40.041901,94.9006,94.7900,3795.57,-4.43,0.03765837
2026-05-01,QQQ,23.223540,660.9673,673.5500,15642.22,292.22,0.15519675
2026-05-01,VEA,129.306373,68.0554,68.7200,8885.93,85.93,0.08816322
2026-05-01,VTI,85.197379,351.5366,355.3000,30270.63,320.63,0.30033490
2026-05-01,VWO,64.406048,58.2243,58.9900,3799.31,49.31,0.03769549
2026-05-04,BND,128.427354,73.6292,73.1100,9389.32,-66.68,0.09357274
2026-05-04,DGRO,120.467714,73.0486,72.8600,8777.28,-22.72,0.08747317
2026-05-04,GLD,9.084375,418.3006,414.5500,3765.93,-34.07,0.03753073
2026-05-04,HYG,55.127887,80.2679,79.8000,4399.21,-25.79,0.04384189
2026-05-04,IEF,46.606383,94.8583,94.4000,4399.64,-21.36,0.04384625
2026-05-04,QQQ,26.574783,662.5830,672.1900,17863.30,255.30,0.17802328
2026-05-04,VEA,129.306373,68.0554,67.9100,8781.20,-18.80,0.08751222
2026-05-04,VTI,85.197379,351.5366,354.4488,30198.11,248.11,0.30095030
2026-05-04,VWO,74.894038,58.3491,58.7300,4398.53,28.53,0.04383513
2026-05-05,BND,128.427354,73.6292,73.2400,9406.02,-49.98,0.09301251
2026-05-05,DGRO,129.080613,73.0474,73.3600,9469.35,40.35,0.09363880
2026-05-05,GLD,10.572824,418.6204,418.3700,4423.35,-2.65,0.04374083
2026-05-05,HYG,55.127887,80.2679,79.9200,4405.82,-19.18,0.04356747
2026-05-05,IEF,46.606383,94.8583,94.5300,4405.70,-15.30,0.04356629
2026-05-05,QQQ,28.199331,663.5264,681.7000,19223.48,512.48,0.19009364
2026-05-05,VEA,138.439969,68.0945,68.9800,9549.59,122.59,0.09443222
2026-05-05,VTI,85.197379,351.5366,356.9900,30414.61,464.61,0.30075841
2026-05-05,VWO,74.894038,58.3491,59.3600,4445.71,75.71,0.04396192
2026-05-06,BND,128.427354,73.6292,73.5500,9445.83,-10.17,0.09205841
2026-05-06,DGRO,129.080613,73.0474,73.5800,9497.75,68.75,0.09256442
2026-05-06,GLD,10.572824,418.6204,431.3900,4561.01,135.01,0.04445129
2026-05-06,HYG,55.127887,80.2679,80.1600,4419.05,-5.95,0.04306776
2026-05-06,IEF,46.606383,94.8583,95.0000,4427.61,6.61,0.04315114
2026-05-06,QQQ,28.199331,663.5264,697.4699,19668.18,957.18,0.19168474
2026-05-06,VEA,138.439969,68.0945,70.8700,9811.24,384.24,0.09561966
2026-05-06,VTI,85.197379,351.5366,362.0000,30841.45,891.45,0.30057861
2026-05-06,VWO,74.894038,58.3491,60.7500,4549.81,179.81,0.04434215
